"Repository","dc:title","dc:creator","dc:date","dc:identifier","dc:coverage","dc:extent","dc:identifer","dc:identifier OR 
dc:hasFormat","dc:description ","dc:description ","dc:description "
"Drexel University College of Medicine Legacy Center","Ann Preston, MD Papers","Ann Preston (1813-1872)","1831-1880","WM.SC.537","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States",".67 lf","http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_DUCOMWMSC537","Less than 1%","Ann Preston (1813-1872) was a pioneer in women's medical education. She graduated from the first class of the Female Medical College of Pennsylvania (later the Woman's Medical College of Pennsylvania) in 1851, served on the faculty, founded the Woman's Hospital of Philadelphia and a nursing school, and became the first woman dean of the Female Medical College in 1866. This collection documents Dr. Preston's early life and, to a lesser degree, her medical career and the successes as well as the challenges that she and other women physicians faced in the mid nineteenth century.","Most of the materials in this collection deal with Preston's childhood or are photocopies from the Chester County Historical Society. Folders 5 and 6 include a number of documents—including published texts, lectures, and commencement addresses—that shed light on how women justified their participation in medicine in the mid-nineteenth century. While Preston acknowledged that the home was woman's sphere, she did not believe they should be confined there. Many women had children to support, and medicine represented a more remunerative and less time-consuming option than sewing or washing. She also argued that women were better at treating other women. In addition to these material and moral concerns, she believed that women should be allowed to study medicine simply because &quot;the exercise of their own judgment and conscience&quot; directed them to do so.","These papers will be interesting to scholars studying not only the challenges faced by women physicians, including opposition from male physicians and male-dominated institutions, but also those studying the evolution of feminist thought. Preston drew on arguments that women should study medicine both because they were the same as men and because they were different from men. In doing so, she navigated several different intellectual discourses, including natural rights theory, separate spheres ideology, civilization theory, and national pride. These papers thus show how these ideas presented both problems and opportunities to women arguing for expanded rights. Finally, historians of women's education will note that these sources reflect nineteenth- and twentieth-century college women's broader sense of a shared mission."
"Drexel University College of Medicine Legacy Center","Rachel L. Bodley Papers","Rachel L. Bodley (1831-1888)","1856-1891","Acc. 291","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States",".75 lf","http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WMSC420xml","https://idea.library.drexel.edu/islandora/search/Keyword:bodley","This collection documents some of Dr. Bodley's endeavors as Dean of the Faculty of the Woman's Medical College of Pennsylvania (WMCP). The bulk of this collection consists of correspondence between Dr. Bodley and various WMCP faculty, students, and alumnae. The collection also contains academic and administrative documents. Examples of the administrative materials includes WMCP faculty by-laws, Examination Committee reports, and financial records. Academic material such as published speeches and lectures provide a robust insight into the institution's mission, goals and methods during the last quarter of the nineteenth century. This collection also includes material that elucidates Dr. Bodley's interest in medical missionary work.",,"These papers will primarily draw researchers interested in institutional history. However, they also highlight the development of a network of women professionals centered around WMCP. Letters from students, alumnae, faculty, physicians at other institutions, and perhaps most of all prospective students across the nation demonstrate the prestige of WMCP, while Bodley's report on alumnae shows how graduates expanded this network."
"Drexel University College of Medicine Legacy Center","Clara Marshall Papers","Clara Marshall","1879-1930","Acc. 292","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States","1.25 lf","http://archives.drexelmed.edu/collect/inventories/a292_inventory.pdf","https://idea.library.drexel.edu/islandora/search/%2A%3A%2A?f[0]=name_facet%3A%22Marshall%2C%20Clara%22","Clara Marshall was Dean of the Woman's Medical College of Pennsylvania (WMCP), 1888-1917. Marshall graduated from WMCP in 1875 and soon after became a Professor of Materia Medica. The collection documents Marshall's role as a faculty member and Dean including her efforts in expanding the program and facilities, and relationships with local and national schools and organizations, as well as containing student records.



","During Clara Marshall 's tenure as dean of WMCP (1888-1917) professionalization attempts proliferated. Through extensive correspondence and scattered other sources, this collection highlights how these attempts cut both ways for WMCP. In this and other ways, these papers also contribute to understanding the institutional history of the school, documenting enrollment, alumnae publications, and more through reports and pamphlets. They also highlight the school's continued involvement in missionary work. Finally, this collection demonstrates Marshall's participation in other aspects of the women's rights movement, particularly suffrage, and includes correspondence from such prominent women as Alice Stone Blackwell, Mary Putnam Jacobi, and Lida Stokes Adams.","This collection will be of interest to scholars studying the relationship between women's institutions and male-dominated professionalization attempts. While women leaders often welcomed professionalization as a means of attaining legitimacy, a perennial lack of funding often made such recognition impossible. There is also some evidence that shows a connection between WMCP and the woman suffrage movement, including a letter from Lida Stokes Adams to Marshall and a paper Marshall read before National American Woman Suffrage Association. These papers will be useful to researchers interested in the role of professional women in the suffrage movement."
"Drexel University College of Medicine Legacy Center","Martha Tracy Papers","Martha Tracy","1850-1948","WM.SC.421","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States; 3200 Henry Avenue, Philadelphia, Pennsylvania, United States","2 lf","http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WMSC421xml","https://idea.library.drexel.edu/islandora/search/%2A%3A%2A?f[0]=name_facet%3A%22Marshall%2C%20Clara%22","Martha Tracy was a student (1904), professor and influential dean (1917-1941) at Woman's Medical College of Pennsylvania (WMCP). This collection includes publications by Tracy and other physicians, mostly concerning cancer [1894-1916]; documentation of activity as WMCP Dean; history of the school and Tracy's original cartoons and verse 'Ye Medical Student's Primer' (1904). Tracy's writings include coverage of cancer, preventive medicine, women in medicine, and ethics. ","Martha Tracy (1875-1942) was dean of Woman's Medical College of Pennsylvania (WMCP) from 1918 to 1940. Some of these materials, including several materials about the history of WMCP, speak to an earlier era, including continued attempts at increased professional standing. Speeches and printed materials, meanwhile, demonstrate how justifications for women's participation in medicine had changed (or not) in the half century since Preston served as dean. Other documents, including correspondence with such women as Anna Howard Shaw and Lucretia Blankenburg, demonstrate the connection between WMC and others aspects of the women's rights movement, as well as its continued participation in missionary work. The collection includes several photographs of Tracy.","Historians of professionalization will find materials on the extent to which WMCP had attained professional standing by this point, as well as the continued difficulties the institution faced. Historians of feminism, meanwhile, will be interested to note the continued salience of arguments about both women's similarities to and differences from men as justification for their participation in medicine. Researchers hoping to learn more about Tracy's life will also find much of interest, as posthumous memorials provide significant biographical material."
"Drexel University College of Medicine Legacy Center","Woman's Medical College of Pennsylvania clipping scrapbooks","Woman's Medical College of Pennsylvania","1869-1923","Acc. 133","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States; 3200 Henry Avenue, Philadelphia, Pennsylvania, United States","1.5 lf","index available in repository","https://idea.library.drexel.edu/islandora/object/lca:1696#page/1/mode/1up; https://idea.library.drexel.edu/islandora/object/lca%3A12122","27 clippings scrapbooks and loose clippings of general information related to Woman's Medical College of Pennsylvania and later Medical College of Pennsylvania. All scrapbooks are of a general nature, covering any topic relevant to the school and hospital and were compiled anonymously, most likely by the public relations department in later years. One of the two more specific scrapbooks focuses on the Alice Tallant Affair; the other was compiled by Dr. Rachel L. Bodley, Dean of the College from 1874-1888. Each scrapbook covers a particular period of time with the total time period covered being from 1867 to 1972 with single clippings dating to 1854.","This collection includes clippings from local, national, and international newspapers, feminist publications, and medical publications. Additionally, clippings include coverage of Woman's Medical College of Pennsylvania (WMC) commencement exercises, announcements, and other student activities. The first thirty years of clippings are largely dedicated to debates over whether or not women should be doctors. Around the turn of the century, opposition to women doctors abated somewhat, partially replaced by a discourse in which educated women served as a symbol of white, Christian America to the rest of the world, particularly in missionary work. Coverage of women's participation in the war effort begins around 1915, as does more extensive discussion of progressive public health initiatives. There is also some evidence of connections to the suffrage movement.","These clippings allow researchers to analyze how discourses about women doctors changed between 1869 and 1923, as well as how these perceptions were related to national and international developments. Clippings are less rich, although still helpful, in documenting how women physicians thought of themselves. Women doctors regularly responded to opposition, and students occasionally took action to take control of their own education. Researchers should keep in mind that these scrapbooks were created by WMCP personnel, which makes tracking change over time difficult (collecting patterns may have changed)."
"Drexel University College of Medicine Legacy Center","West Philadelphia Hospital for Women records","West Philadelphia Hospital for Women","1889-1932","SC.160","41st and Ogden Streets, Philadelphia, Pennsylvania, United States; 4035 Parrish Street, Philadelphia, Pennsylvania, United States;","1.25 lf","http://hdl.library.upenn.edu/1017/d/pacscl/DUCOM_WMSC160","No digitized content","Founded by Dr. Elizabeth Comly-Howell in 1889, the West Philadelphia Hospital for Women was established in order to provide a place in West Philadelphia where women could be treated by women. In 1929, the hospital merged with the Woman's Hospital of Philadelphia. At the time of the merger, it was arranged that all maternity cases would be sent to the West Philadelphia Hospital, and surgical cases would be kept at the Woman's Hospital of Philadelphia. The Woman's Hospital of Philadelphia continued in existence until 1964 when it was absorbed by the Hospital of the University of Pennsylvania. The collection contains Board of Manager records, Executive Committee records and historical materials.The West Philadelphia Hospital for Women records are arranged in three series: &quot;Board of Managers records,&quot; &quot;Executive Committee records,&quot; and &quot;Historical materials.&quot; The &quot;Board of Managers records&quot; includes Regular Monthly Meeting minutes from 1889 to 1901 and 1917 to 1932; Annual Meeting Minutes from 1920 to 1929; and Annual Reports from 1890 to 1893, 1904 to 1910, 1913 to 1914, and 1918 to 1927. The &quot;Executive Committee records&quot; include Regular Monthly Meeting minutes from 1908 to 1914. The &quot;Historical materials&quot; series consists of a history of the Hospital, circa 1899; rules for the Superintendent and Directress of Nurses, 1901; the Charter and By-Laws of the West Philadelphia Hospital for Women, 1912; Broomall Club new members letter, 1916; a descriptive brochure, 1917; and the resolution to merge with Woman's Hospital of Philadelphia, circa 1929.","Board of Managers minutes are procedural, with more space devoted to committee reports, budgets, and resolutions than to the practice of medicine. However, they do shed light on institutional and treatment practices, noting the number of patients admitted (including free or at reduced rates), prescriptions written, and surgeries performed, as well as listing hospital staff and discussing the kinds of equipment and facilities they need. Executive Committee minutes also include committee reports, budgets, and resolutions, but they are more hands-on in terms of the day-to-day happenings in the hospital and its nurse training program, including students' grades, relationships between students and instructors, and what constituted proper training. Annual reports are the most detailed of all, with comprehensive breakdowns of patients and treatments. They also include tables of income, disbursements, and donations, as well as pictures of the facilities.","In addition to the importance of the annual reports, historians who study women's voluntary organizations will find these papers useful. From the beginning, they show hospital leaders running the institution like a business, very much in keeping with the organizational patterns of women's benevolent work earlier in the nineteenth century. Other women's historians will note with interest the participation of philanthropist Anna T. Jeanes. Researchers of the history of medicine will find these materials very instructive in illustrating how treatment and training programs changed over the course of the late nineteenth and early twentieth centuries."
"Drexel University College of Medicine Legacy Center","Woman's Hospital of Philadelphia Records","Woman's Hospital of Philadelphia","1861-1964","WM.002","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States","8.5 lf","http://dla.library.upenn.edu/dla/pacscl/detail.html?id=PACSCL_DUCOM_DUCOMWM002","Less than 1%: https://idea.library.drexel.edu/islandora/object/lca:12151","Founded in 1861 by Ann Preston, M.D., the Woman's Hospital of Philadelphia provided clinical experience for the Woman's Medical College of Pennsylvania students and practical training for nurses. In 1929, the West Philadelphia Hospital for Women merged with the Woman's Hospital of Philadelphia, retaining the latter's name. The Woman's Hospital of Philadelphia continued in existence until 1964 when it was absorbed by the Hospital of the University of Pennsylvania. The collection contains minutes of the Board of Managers and various committees, dating from 1861 to 1964; financial records, including auditor's reports and bequests, and dating from 1894 to 1964; clinical reports, dating from the 1890s; a register of deaths dating from 1872 to 1890; board of manager minutes (1863 to 1881) and pamphlets and bulletins (1923-1924; 1957-1960) from the hospital's Training School for Nurses.",,"Board of Managers meeting minutes are interesting largely to the extent that they show women running a business. In addition to appointing officers, forming committees, electing members, and reading reports, they sought incorporation, looked for a building, dealt with maintenance and facility issues, and administered budgets. Beyond this, many of the richest aspects of the meeting minutes—bylaws about whom to admit and at what rate, statements on the need for a woman's hospital, and breakdowns of patients seen and treatments administered—are included in annual reports. In addition to detailed discussions of these subjects, annual reports will be of great interest to historians of women's education and employment. Researchers will be able to see how training of, and expectations for, women doctors and nurses evolved. Of particular interest are the regularly included rules for nurses, which lay out requirements for age, intelligence, character, behavior, and duties, and applications for the nurse training school, which include personal questions about marital status, children, health issues, height and weight, race, and religious denomination."
"Drexel University College of Medicine Legacy Center","Anna Fullerton diaries","Anna Fullerton","1915-1933",1992.12,"Dehra Dun, Uttrakhand, India, Asia",".5 lf",,"No digitized content","Dr. Fullerton, a surgeon, spent the latter half of her life as a missionary to India after training and lecturing at Woman's Medical College of Pennsylvania and serving as the head of the West Philadelphia Hospital for Women. These diaries document her time at Dehra Dun from 1915 to 1933. Although Fullerton comments on the war, local customs, and her work in the hospital, she devotes the bulk of her writing to the weather, friends she heard from or saw, home improvements, legal and business transactions, quotes from the Bible, other books, and friends' letters.",,"A number of interesting themes run through these diaries. The first is US participation in the war, a development of which Fullerton did not approve. The second, and most prominent, concerns her paternalistic attitudes toward locals and their customs, however, attention to such issues is sporadic. Attitudes of missionaries toward local customs, particularly &quot;child brides,&quot; is dealt with more extensively in WMCP's Alumnae Transactions, as is American medical women's participation in the war. Since Fullerton often transcribes friends' letters in full, it is often difficult to determine where quoted material ends and her own thoughts begin."
"Drexel University College of Medicine Legacy Center","Annual Announcements of the Woman's Medical College of Pennsylvania","Woman's Medical College of Pennsylvania","1850-1970","Acc. 76","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States; 3200 Henry Avenue, Philadelphia, Pennsylvania, United States","1.5 lf",,"40% (1850-1895) digitized: https://idea.library.drexel.edu/islandora/object/lca:12184","Woman's Medical College of Pennsylvania (WMCP) published an annual announcement starting in 1850 which described curriculum, faculty, student body, and course requirements and offerings. In 1914 the Annual Announcement was published with the quarterly publication, Bulletin of Woman's Medical College of Pennsylvania. The Annual Announcement continued into the 1980s.","WMCP's Annual Announcements shed light on academics, demographics, and values. Increasingly detailed breakdowns of courses, recommended reading, and faculty members reveal a curriculum that grew more rigorous to support a profession that was becoming more specialized. Additionally, course offerings reveal the confluence between medicine and Progressive and feminist reform. A course on hygiene, eventually supported by the US Social Hygiene Board, included visits to factories, water-filtration plants, and other sites. It also addressed aspects of social medicine, including sex hygiene and control of venereal disease. Announcements also offer some insights into the kind of students who attended WMC, their career prospects after graduation, and the kinds of students WMC tried to recruit. In addition to listing places of residence for students and alumnae, as well as those in the latter category who received hospital appointments, announcements describe the kinds of financial aid available to prospective students. Of particular interest is the aid available to students who wish to become missionaries after graduation.","These announcements will be of interest to researchers studying the evolution of medical education. Course offerings and descriptions reveal much about the rigor of training and the subjects emphasized by the college, as well as something of the medical knowledge that existed at the time. The broad strokes of these changes will also be interesting to historians of women's participation in Progressivism and public health."
"Drexel University College of Medicine Legacy Center","Bulletins of the Woman's Medical College of Pennsylvania","Woman's Medical College of Pennsylvania","1914-1938",,"21st Street and North College Avenue, Philadelphia, Pennsylvania, United States; 3200 Henry Avenue, Philadelphia, Pennsylvania, United States",".5 lf",,"https://idea.library.drexel.edu/islandora/object/lca%3A12118","An annual publication of Woman's Medical College of Pennsylvania (WMCP) listing faculty, speeches and addresses, enrolled students, and activity reports, 1915-1920.","The bulletins offer a largely synchronic picture of WMCP activities and philosophy. In addition to facts on enrollment, the geographical dispersion of alumnae, and more, bulletins offer descriptive reports and transcripts that are particularly revealing of institutional values. They discuss student missionary work, offer justifications for women as physicians and for single-sex education, describe the growing social services department, and document participation in the war effort both at home and abroad. This last issue is covered in particular detail. Reports of student activities also provide hints of college life outside of the classroom or clinic.","The bulletins capture a particularly interesting time period, one that includes the maturation of Progressive reform, the limits of Progressive internationalism, US participation in WWI, and the final push for woman suffrage. WMCP's relationships to all of these issues issues are reflected in the bulletins, and thus they will be of interest to researchers studying a variety of topics."
"Drexel University College of Medicine Legacy Center","Reports and Transactions of the Annual Meetings of the Alumnae Association of the Woman's Medical College of Pennsylvania","Alumnae Association of the Woman's Medical College of Pennsylvania","1876-1939",,"21st Street and North College Avenue, Philadelphia, Pennsylvania, United States; 3200 Henry Avenue, Philadelphia, Pennsylvania, United States","1.5 lf",,"https://idea.library.drexel.edu/islandora/search?f%5B0%5D=org_facet%3A%22Woman%27s%20Medical%20College%20of%20Pennsylvania.%20Alumnae%20Association%22","The Woman's Medical College of Pennsylvania (WMCP) Alumnae Association published annual transactions on the activity of and scientific papers by women physician graduates of WMCP, 1876-1939.","In addition to lists of members, officers, and other organizational data, the WMCP transactions include reports on members who have died, sometimes with lengthy biographies. The richest sections of transactions include papers on, and discussions on, various medical and social topics. There is a special focus on gynecological and other women's topics and missionary work. Additionally, transactions include excerpts from the annual reports of the West Philadelphia Hospital for Women and the Woman's Hospital of Philadelphia, including some data on patient and treatment breakdowns.","This collection will be of great interest to historians studying the evolution of medical knowledge. Discussions in particular offer a rare glimpse into the contested nature of various medical theories. However, this collection is perhaps most valuable for what it reveals about WMCP graduates' views on race, class, and gender. In particular, they saw it as their duty as enlightened American women to lift up women in other parts of the world—particularly India, where the phenomenon of &quot;child brides&quot; was especially concerning. This topic receives extensive coverage. Less prominently featured, but still included, are arguments that attribute racial and class disparities to biological factors. For historians of race and class in the late nineteenth and early twentieth century woman's movement, this collection is a treasure trove."
"Historical Society of Pennsylvania","Woman Suffrage Society (Philadelphia, Pa.) minutes, 1892-1901","Woman Suffrage Society of the County of Philadelphia","1892-1901","Am. 3154","Philadelphia, Pennsylvania",".08 lf",,"No digitized content","Made up of meeting minutes of the Woman Suffrage Society of the County of Philadelphia, these notes are largely procedural, noting budgets, the election of officers and members, committee reports, and the like. These notes demonstrate the kinds of tactics suffragists used at this time, including pursuing press coverage, distributing literature, bringing suffrage speakers to women's groups, holding letter writing campaigns, sponsoring essay contests, and hosting fundraisers. There is also some discussion of petitioning the state legislature, as well as of related issues including women's employment, the single tax movement, the arguments of anti-suffragists, and suffrage developments elsewhere in the nation. Among those involved in this activism were such prominent Pennsylvania suffragists as Jane Campbell, Charlotte Peirce, Lucretia Blankbenburg, and Rachel Foster Avery. Additionally, these notes include summaries of lectures given by speakers including Henry Blackwell and Anna Howard Shaw. Finally, this volume documents debates over relationships among local, state, and national organizations.",,"Although a single volume, these notes are dense and information-packed. Researchers interested in a case study of a local suffrage organization will find them of use, but there is little that will advance the literature on the broader suffrage movement in the last decade of the nineteenth century. As noted, however, they do shed some light on membership, tactics, and relationships among local, state, and national organizations"
"Historical Society of Pennsylvania","Woman Suffrage Party of Logan minutes","Woman Suffrage Party of Logan/Pennsylvania League of Women Citizens","1915-1920","Am. 8894","Germantown, Philadelphia, Pennsylvania, USA, 40°02′37″N 75°10′55″W",".04 lf","http://discover.hsp.org/Record/ead-Am.8894/Description#tabnav","No digitized content","Begun as the Germantown branch of the Woman Suffrage Party, this woman's organization called itself the Logan Suffrage League until 12 July 1915, when it changed its name to the Woman Suffrage Party of Logan. Its social, literature, membership, and press committees had as their mission the sponsorship of women's suffrage speeches and the distribution of circulars advertising such occasions and other fund-raising events. This minute book, 16 March 1915 to 10 December 1919, of regular, public, special, and executive meetings includes two photographs of suffragist Anna Howard Shaw. Also included is a dance program from a dance held 16 January 1920 at the Hotel Rittenhouse, sponsored by the Philadelphia League of Women Citizens in honor of the death of Wolstan Dixey.","Largely procedural meeting minutes from 1915-1919, these notes describe events hosted, fundraising efforts, officers' elections, dues collection, and the like. This volume is interesting largely for its documentation of how the suffrage movement had changed by the twentieth century's second decade. Suffragists by this point were increasingly using public tactics; members of the Woman Suffrage Party of Logan held open-air meetings, hung banners across Broad Street, advertised in newspapers, staged theater performances, monitored polling places, attended hearings in the state legislature, and actively worked to defeat state politicians who voted against state suffrage. There is little to no discussion of some important national and even state-level developments in the suffrage movement; for example, minutes do not explicitly mention the failed 1915 state referendum, although they do discuss the successful 1919 state campaign. Originally the Germantown (Philadelphia) branch of the Woman Suffrage Party, this organization changed its name to the Pennsylvania League of Women Citizens in 1919, when Pennsylvania women won the right to vote.","The notable absences in these papers make it difficult for researchers to glean much about the particular trajectory of the Pennsylvania suffrage campaign. As noted, this volume is most useful for what it documents about the changing strategies of suffragists between the late nineteenth century and the second decade of the twentieth century."
"Historical Society of Pennsylvania","Dora Kelly Lewis correspondence","Dora Kelly Lewis","1884-1921",2137,"Philadelphia, PA, USA",".75 lf","http://discover.hsp.org/Record/ead-2137/Description#tabnav","Less than 1%","Dora Kelly Lewis served actively in the suffrage movement. She became an executive member of the National Woman's Party in 1913, served as the chairman of finance in 1918, and as the national treasurer in 1919. In 1920, she headed the ratification committee. The correspondence of Dora Kelly Lewis consists of encouraging and endearing letters from her husband, Lawrence Lewis, 1884-1903, reporting on his legal practice and commenting on Dora's suffragist activities. Letters from 1914-1921 are, for the most part, from Dora to her children and her mother. Several 1917 and 1919 letters detail picketing, watchfires, and other demonstrations, as well as the arrests and imprisonment that followed. Letters from 1919-20 discuss her travels as she worked to convince state legislatures to ratify the Nineteenth Amendment. There are a few typed diary pages. These letters document her efforts in gaining the franchise for women.",,"A tremendously important collection, especially for students who may not be aware of the sacrifices suffragists made and the poor treatment they received. Beyond the visible drama of arrests and imprisonment, Lewis's letters also document the long, slow work of organizing."
