"Repository","dc:title","dc:creator","dc:date","dc:identifier","dc:coverage","dc:extent","dc:identifer","dc:identifier OR 
"Historical Society of Pennsylvania","Caroline Katzenstein papers","Caroline Katzenstein","circa 1850-1965","Am. 8996","1326 Chestnut St, Philadelphia, PA 19107, USA, 39°57′1.253″N 75°9′46.835″W",".9 lf","http://hsp.org/sites/default/files/legacy_files/migrated/findingaidam8996katzenstein.pdf","5%","The Caroline Katzenstein papers document Katzenstein's participation in the women's suffrage movement from 1909 to 1921, her efforts to help women obtain equal pay for equal work in the 1920s, her tireless promotion of the Equal Rights Amendment from 1923 to 1965, and her early career as an insurance agent (1909-ca. 1930). Katzenstein's book, Lifting the Curtain, is in HSP's library collections. Among the materials are her typed and handwritten correspondence; papers pertaining to her book, Lifting the Curtain; her published paper, &quot;The Sporting Spirit&quot; tracts, broadsides, and convention programs from national and Pennsylvania suffrage groups; her executive secretary reports for the Pennsylvania Woman's Suffrage Association; correspondence pertaining to the National Woman's Party and the Equal Rights Amendment; ERA resolutions, hearings and congressional testimonies; a scrapbook with newspaper clippings; photographs of women suffragists; and a 1955 review of Lifting the Curtain, presented on WCAU-FM, Philadelphia. There is scant information on Katzenstein's personal life or her family.",,"These papers offer a lively firsthand account of the suffrage movement in Pennsylvania. Katzenstein was involved in almost every suffrage organization in Pennsylvania at one time or another, often holding positions where she was responsible for detailing the group's activities, cultivating relationships with the press, and more. Thus, these papers provide a wealth of documentation on evolving suffrage strategies, including lobbying legislators, holding open-air meetings and parades, and organizing the Liberty Bell tour. Further, they demonstrate the close relationship between state and national activism, detailing the frequent visits Alice Paul and others made to Pennsylvania and the participation of many Pennsylvania women in picketing the White House, along with their subsequent imprisonment. They also document some of the conflict within the suffrage movement, including between NAWSA and the NWP, as well as the role of race within the movement. These papers also illustrate continuity between first- and second-wave feminism through Katzenstein's long activist career."
"Historical Society of Pennsylvania","Edith Madeira papers","Edith Madeira","1900-1951 (bulk 1917-1919)",2053,"State of Palestine, 31°57′25.39″N 35°13′54.213″W",".4 lf","http://hsp.org/sites/default/files/legacy_files/migrated/findingaid2053madeira.pdf","100%","Edith Madeira (1865-1951) served as the chief nurse for the American Red Cross Commission to Palestine from June 1918 to January 1919. The Commission was formed &quot;to look after the sickness and starvation of the civilian population in the occupied area of Palestine.&quot; The papers of Edith Madeira consist of typescript letters, 1917-1919; her &quot;Report for Nursing Service&quot; detailing the Commission's work in Palestine; Madeira's nursing diploma and license; memoirs detailing her voyage to Palestine, by way of South Africa and the Indian Ocean; memoirs featuring her service in Palestine and surrounding regions; and a scrapbook filled with photographs, memorabilia, and a few plant specimens.",,"These papers offer historians the opportunity to explore how women negotiated a place they were not supposed to be—the frontlines of war—in a profession that was not always recognized as such—nursing. Yet, Madeira was in a privileged position in relation to those she was helping. Much has been written about interactions between Progressive reformers and those whom they were trying to aid in the context of the United States. Madeira's papers—especially the several drafts of her report of her experiences—provide researchers with an opportunity to see what happened when a sensibility focused on efficiency and a certain brand of professionalism traveled abroad. In addition to commentary on the war, Madeira's report is replete with observations on Palestinian natives hired to work in the hospital, Armenian refugees, Africans, and others, all of whom she approached employing an Orientalist gaze."
"Historical Society of Pennsylvania","New Century Trust records","New Century Trust","ca. 1854-2004 (bulk 1882-2000)",3097,"1227 Arch St, Philadelphia, PA 19107, USA, 39°57′14.418″N 75°9′35.475″W","49.7 lf","http://hsp.org/sites/default/files/legacy_files/migrated/findingaid3097nct.pdf","No digitized content","The New Century Trust was founded in 1893 as the incorporated body of the New Century Working Women's Guild. Eliza Sproat Turner (1826-1903), a progressive women's activist, helped create both organizations. Over several decades, the trust oversaw and provided financial support for the guild's activities for women in the workforce. The records of the New Century Trust include their own and mostly those of the New Century Guild and its predecessor, New Century Working Women's Guild. Spanning from the mid-1800s to the early 2000s are board and committee meeting minutes, administrative files, membership materials including members' information cards, financial records, photographs, artifacts, clippings, and ephemera.","Although this is a large collection, the bulk of its materials are from the post-1920 period. Those that do fit into the project scope are, like meeting minutes, mostly procedural. They do, however, paint a picture of the New Century Guild as somewhere between a settlement house, a union, and a social club by and for self-supporting women. Both meeting minutes and office account books also provide insight into the kinds of evening classes the Guild offered. Given that the organization shared DNA with the Consumers League (Florence Kelley was a founder), it is not surprising that these sources place special emphasis on investigating and improving the working conditions of women and girls. Other points of discussion involved suffrage, home life and paid work, and women's contributions to the war effort. Extant copies of publications, clippings, conference programs, etc., date almost entirely from later in the 20th century.","Despite the presence of such prominent Philadelphians as Lucretia Blankenburg and Charlotte Peirce on the Executive Board, the fact that the Guild aimed to be an organization by and for working women allows their voices to come through. The Guild thus differed from many other organizations established for working women in the same era. Members were proud to work for wages and based much of their identity on this activity, particularly interesting given the wide range of occupations represented by the Guild's membership. These records will thus be interesting to historians of women, wage work, and class consciousness."
"Historical Society of Pennsylvania","The New Century Journal of Women's Interests","New Century Guild","1887-1931","HQ 1906.P5 N494","1227 Arch St, Philadelphia, PA 19107, USA, 39°57′14.418″N 75°9′35.475″W",".5 lf",,"No digitized content","This collection includes bound copies of the New Century Guild's journal from 1887-1931, the vast majority of which is missing from the New Century Trust Records. The journal changed its name several times, starting as the Journal of Woman's Work and eventually settling on the New Century Journal of Women's Interests. Published every four weeks, the journal included news on the Guild's activities, reprints of annual reports, the names of new members, lists of books and magazines available at the Guild, and more. Additionally, it gave Guild members an opportunity to share their thoughts on a staggering variety of topics. Essays address issues including women's education, pay discrimination, suffrage, gender roles, race relations, marriage, and labor legislation. Some volumes are indexed, with lists of original essays included.",,"This is an incredibly important set of sources. It is extremely rare to get access to working women's voices like this, and for that reason, these journals are a dream source for historians. Although some authors only give initials, it should be possible to cross-reference full names with membership roles to figure out authors' occupations."
"Historical Society of Pennsylvania","Pennsylvania Abolition Society Papers, Series 5","Philadelphia Female Anti-Slavery Society","1833-1870","Collection 490 (PAS), E.441 .A58 v. 114 (annual reports); E441. v. 208; E441.A58 v. 16 (pamphlet)","Philadelphia, PA, USA","1.5 lf","http://www2.hsp.org/collections/manuscripts/p/PAS0490.html","30%","Founded in 1833, the Philadelphia Female Anti-Slavery Society was an interracial abolitionist group. An immediatist group in Garrisonian tradition, it comprised members of Philadelphia's black elite, including Sarah Mapps Douglass and members of the Forten and Purvis families, as well as such prominent white women as Lucretia Mott, Mary Grew, and Sarah and Angelina Grimke. Extant materials include meeting minutes, annual reports, correspondence (mostly incoming), and a pamphlet addressed to the women of Pennsylvania. Documents espouse a version of abolitionism based on both Christian morality and natural rights, one that argued for women's special right and duty to combat the institution. They also discuss such seminal events as the 1837 murder of Elijah Lovejoy, the 1838 burning of Pennsylvania Hall, the controversy over women's participation in the 1840 antislavery convention in London, and, later, the Fugitive Slave Act, onset of war, Emancipation Proclamation, and more.",,"Historians have long recognized the significance of the Philadelphia Female Anti-Slavery Society, making these records very important. They shed light on some of the most vexing questions about the abolitionist movement, including whether women were able to participate on equal ground with men, the extent to which white abolitionists believed in full racial equality, whether the abolitionist movement truly changed from moral to political over time, and the extent to which women abolitionists drew on mainstream gender discourses to justify their participation."
"Temple University Libraries","Octavia Hill Association (Philadelphia, Pa.) Records","Octavia Hill Association","1880-1970","SCRC 29",,"8.25 lf","http://library.temple.edu/scrc/octavia-hill-association","Helen Parrish diaries only http://digital.library.temple.edu/cdm/search/searchterm/helen%20parrish%20diaries/order/nosort","The Octavia Hill Association was incorporated in 1896 to improve working class housing conditions through the sympathetic management of dwellings which it purchased and renovated. The Association's activities were modeled after the work in London of Octavia Hill, with whom one of its founders, Helen Parrish, had studied. These records contain the personal diaries, correspondence, and notes of Helen Parrish (1888-1943), as well as reports, legislative files, correspondence, publications, and clippings of the Octavia Hill Association (1880-1970). Also included are glass lantern slides, negatives, and photographic reprints relating to the Association's properties and community activities, and depicting housing interiors and exteriors before and after renovations, court yards, and street scenes around Philadelphia.","The diaries detail Helen Parrish's &quot;friendly visits&quot; to her tenants. Like other early social welfare work, these visits were incredibly invasive, policing tenants' sexual behavior, childcare practices, financial decisions, and drinking habits. Race relations, especially interracial relationships, come up frequently. Interestingly, unlike social welfare programs aimed exclusively at women (mothers' pensions, for example, and, later, ADC), Parrish policed the behavior of both men and women. She mentions many of the same people several times, making it possible for researchers to trace their stories. Correspondence is mostly incoming, including several letters from Octavia Hill and her sister, Miranda. Notes and speeches go the furthest in documenting the influences on Parrish and the OHA, as well as their very specific vision for how best to practice charity. Meanwhile, subseries on legislative involvement and speeches, conferences, and reports best document the actions the OHA pursued.","It is rare for historical figures to lay out their thoughts, influences, and goals so explicitly. Helen Parrish emerges as a figure as complex and compelling as Jane Addams, one whose life and work encapsulate the central paradox of Progressivism as both altruistic and coercive. This collection thus adds new evidence to the perennial debate over which characteristic more fundamentally describes this movement. Moreover, these papers reveal Philadelphia to be a city as important to Progressive reform as New York and Chicago, not only within the US but also as a hub in the transatlantic circulation of Progressive ideas."
"Temple University Libraries","Young Women's Christian Association - Metropolitan Branch, Acc. URB 23","YWCA Metropolitan Branch","1897-1993","Acc. 635, 902, PC-85",,"125 lf","http://library.temple.edu/scrc/young-womens-christian-3","No digitized content","The Young Women's Christian Association of Philadelphia (Pa.), Metropolitan Branch Records contains administrative records, correspondence, minutes, financial records, photographs, publications, committee records, project records, and other materials by and related to the YWCA of Philadelphia, Metropolitan Branch, as well as other Philadelphia branches of the organization.","These records include a great deal of information about both procedural matters—including relationships with other YWCA groups—and daily activities and services. As minutes, reports, and other sources show, the YWCA Metropolitan Branch ran a boarding house, restaurant, lending library, employment bureau, and more. There is also a fair amount of information about women's contributions to the war effort. Within these administrative records are also hints of what the women who ran the YWCA believed about gender. Minutes, for instance, regularly include memorials to members who have died, providing not only biographical material but also indications of the qualities they valued and believed women should have. Reports and other documents note that their work was necessary to protect young working women from the temptations that their low wages would otherwise lead them to indulge in. While these papers thus shed light on the particular feminist vision of elite, white, Protestant women, there is little to provide insight into the experiences of members.","These papers would largely be of interest to two groups of researchers: those interested in institutions, particularly women's institutions, and those interested in late nineteenth and early twentieth-century attempts to curb urban &quot;vice.&quot; Historians can see how such campaigns were overlaid with assumptions about class, ideal womanhood, and other factors."
"Temple University Libraries","YWCA of Philadelphia - Kensington Branch, Acc. 520, 531, 552","YWCA Kensington Branch","1891-1981","Acc. 520, 531, 552,PC-43",,"10 cubic feet","http://library.temple.edu/scrc/young-womens-christian-0","No digitized content","The collection covers the period from 1891 to 1981, with the bulk of the material dated 1960-1980. The Board minutes span nearly the entire history of the organization, thus providing an excellent overview of the Kensington YWCA. Of special interest in this collection is the Board and program minutes from the very beginning of Kensington Branch.","In addition to other association business, meeting minutes discuss in considerable detail the kinds of classes the branch should hold and the hiring of teachers and employees. Minutes also include some discussion of women's contributions to the war effort, supplemented by patriotic materials that can be found in scrapbooks. Program minutes from 1891 to 1900 are especially interesting. Early entries include narrative accounts of each evening's activities—how many young women came, what the night's entertainment was, etc. As evidence of the association's efficacy, they include quotations from attendees emphasizing how grateful they are and how anxious they are to get into classes (albeit from the perspective of board members). Later accounts feature class rosters with the names, addresses, and occupations of students. Many of them were domestic or factory workers (especially in the garment trades), but there were also a handful of dressmakers, tailoresses, clerks, stenographers, and teachers.","This collection is interesting largely as an institutional history or in the context of other, similar organizations formed around the same time, including but not limited to other YWCAs. Its target audience was somewhere between that of a settlement house and a working women's guild; while each involved elite women attempting to help those in need of aid, the class status of the second group was not identical. Historians may wish to investigate whether these differences affected relationships between the various constituencies."
"Temple University Libraries","YWCA of Germantown, Acc. 280","YWCA Germantown Branch","1785-1982 (bulk 1869-1982)","Acc. 877, 280, PC-46, PC-89",,"44 lf","http://library.temple.edu/scrc/young-womens-christian","No digitized content","The materials in this collection include records documenting the history of the YWCA of Germantown, including activities, administration, financial records, photographs, and special events.","Of all of the branches, the Germantown YWCA has the most extensive pre-1920 documentation. Minutes and reports are exhaustive and sometimes redundant, as each committee collected others' reports and noted them in their own minutes. Of particular interest are their attempts to found a branch for African-American women, which is documented throughout the collection but especially in the Committee of 22 minutes. Other topics covered include debates over whether to affiliate with the Philadelphia YWCA, women's work conditions and labor laws, and contributions to the war effort. Two books included in the collection, The Handbook of the Young Women's Christian Association Movement (1916) and Elizabeth Wilson, Fifty Years of Association Work among Young Women (1916), provide detailed histories of the Y movement, although they are not specific to Philadelphia. The collection also includes a number of photographs; although many are from later in the 20th century, a handful depict leisure and athletic activities from the 1910s and 1920s.","In addition to comprehensive institutional documentation, the chronological scope of this collection offers the opportunity to chart changing ideas of ideal womanhood, especially as envisioned in cross-class relationships. While in the early years of the organization directors cast their patrons as &quot;women adrift,&quot; alternately downtrodden and wanton, in later years they appealed to their audience as modern, independent, and useful. For students in particular, this collection provides a good illustration of the shift from true to new womanhood."
"Temple University Libraries","Hebrew Sunday School Society of Philadelphia Records","Hebrew Sunday School Society of Philadelphia","1802-2002 (bulk 1888-1980)","SCRC 50",,"35 lf","http://library.temple.edu/scrc/hebrew-sunday-school-society","No digitized content","In 1838, Rebecca Gratz (a Jewish philanthropist in Philadelphia), along with the Female Hebrew Benevolent Society, founded a Sunday School in Philadelphia that was open to all Jewish children regardless of parental financial standing or synagogue affiliation. Founded in 1819, the Female Hebrew Benevolent Society was the first Jewish charitable organization in Philadelphia, and the first such organization in the United States to offer free basic Jewish religious education. In the first year of operation, attendance at the school grew to 80 students, a number which represented nearly 90 percent of the Jewish children in Philadelphia at the time. The Female Hebrew Benevolent Society operated the Sunday School until 1858 when it was incorporated as the Hebrew Sunday School Society (HSSS). Rebecca Gratz served as president of the organization until she was 80 years of age. The Hebrew Sunday School Society records house the organizational records of HSSS. This collection, which dates from 1802 to 2002, consists of minutes, reports, correspondence, budgets and financial statements, staff and student lists, event programs, clippings, books and research materials, photographs, lantern slides, pins, plaques, and other memorabilia. These records and materials document the history and evolution of HSSS and evidence an organization concerned with the betterment of Jewish children through religious education, including those with special needs. The collection is a unique and rich example of the growth and establishment of the first Hebrew Sunday schools that existed outside of any synagogue, with records that provide a look into how decisions were made over the course of the Society's existence regarding what and how to teach, as well as a look into Jewish life in Philadelphia.","The pre-1920 materials in this collection shed significant light on the operations of the school. Minutes and annual reports describe academic activities and procedural matters, and there is also some insight into the school's educational philosophy. Students were to be as quiet as possible, stay in their desks, and repeat their teachers' words, and teachers were to be &quot;kind&quot; but &quot;strict.&quot; Also of interest are materials produced about students. For the school's 75th anniversary in 1889, administrators solicited notes from former students listing their dates of attendance. A list of those who responded appears in the event's program. The Northern School's record of pupils is also extant between 1890 and 1903. It includes students' names, ages, and addresses, as well as their fathers' (occasionally mothers') names and occupations, pointing to class and residential patterns.","These records are important for the history of Jewish institution building in Philadelphia, but they have less to say about the history of women's rights, although the very existence of the school reflects Rebecca Gratz's dedicated activism. Later remembrances of Gratz included in this collection do include some biographical information about her, but they shed more light on how she functioned as a symbol than on who she was as a person or activist."
"Temple University Libraries","Jewish Ys and Centers of Greater Philadelphia, Neighborhood Centre Branch records: Series 1",,"1891-1969","SCRC 22",,"92 lf","http://library.temple.edu/scrc/jewish-ys-and-centers-greater","No digitized content","The Jewish Ys and Centers of Greater Philadelphia, Neighborhood Centre Branch Records, document the organization's activities as a social welfare organization, settlement house, educational facility, and recreational community center. The collection contains administrative and financial records, correspondence, child care case files, self-studies and surveys, population statistics, and programming documentation from the primary branch, satellite branches, and day camps operated by the Neighborhood Centre. The collection provides details about the planning and implementation of services at the center, designed to aid and improve the lives of the Jewish immigrant community in twentieth century Philadelphia.","Records related to the pre-1920 era, for most of which the organization was named the Young Women's Union, are scarce. The charter, constitution, and annual reports provide insight into the services the YWU provided for its neighbors, including a day nursery and shelter, kindergarten, gymnasium, library, sewing school, evening classes and clubs, and more. Annual reports also shed some light on how the YWU negotiated its relationship to mainstream American culture, including Americanization. Finally, papers document the YWU's connection to other Progressive institutions, especially the Children's Bureau.","Much of the scholarly work on settlement houses has focused on those established by elite Protestant women for immigrant communities who were largely Catholic and Jewish, investigating the power dynamics between these two very different groups. Less work has been done on activists who shared cultural points of reference with those they aimed to help, although historians have found that African American women who aimed to help other members of their community operated somewhat differently. These papers offer the opportunity to fill in another piece of this puzzle. Did a shared religion mitigate tensions between these two groups, and, if so, how does this relationship alter our understanding of Progressive reform more broadly?"
"Temple University Libraries","Association for Jewish Children Records","Association for Jewish Children","1855-1973","SCRC 37",,"29.72 lf","https://library.temple.edu/scrc/association-jewish-children","No digitized content","The Jewish Foster Home and Orphan Asylum was founded in 1855 as the Jewish Foster Home Society for the purposes of &quot;providing a home for destitute and unprotected children of Jewish parentage.&quot; Rebecca Gratz, secretary of the Philadelphia Orphan Asylum, was among the founding members of the Jewish Foster Home Society. This collection contains admission registers for foster home wards, indenture agreements, annual reports, administrative records, and reports on the foster home. The admission registers record the names and ages of children entering the foster home, the date of entry, and in some cases nativity, an abbreviated statement of reason for placement, and date of discharge from the home. Some of the earliest records of admission also include indenture agreements or contracts signed by a parent or guardian binding the institution to provide food, clothing, medicine, and education for children placed there. In return, the parent or guardian committed the child to a stated number of years of labor. Administrative records in this series include Board of Managers meeting minutes, a near complete run of annual reports from 1856 to 1919, and documentation about the creation and administration of a fund to educate wards of the foster home through the Cassie Theobold Pfaelzer Trust. Also of note are the meeting minutes of the Girl's Literary Society, a group consisting of older female wards who engaged in literary recitation and musical performances for the benefit of the residents.",,"What makes these records interesting also makes it challenging to fit the collection under the scope of women's rights. Until 1875, managers and officers were all women, while men sat on the Board of Council. Starting in 1875, men filled the roles previously held by women, who were demoted to the associate board. As a result, their voices disappeared from annual reports, where previously they had expounded on the relationship between women and reform work in some detail. While this lends itself to comparing different reform strategies and philosophies, it also makes it difficult to locate women's agency."
"Swarthmore College Peace Collections","Woman's Peace Party Records","Various","1915-1919","DG043",,"11.5 lf","https://www.swarthmore.edu/library/peace/DG026-050/dg043wilpf/Part%20I-Woman'sPeaceParty.htm","no; Microfilmed","Consists of general organizational files of the national office (in Chicago) such as meeting minutes and correspondence, as well as material from the State Branches.","The Woman's Peace Party existed between 1915 and 1919, becoming the Women's International League for Peace and Freedom (WILPF) US Section. Headquartered in Chicago and with branches in several states, Philadelphia- and Pennsylvania-related materials are scattered throughout this collection. The two Philadelphia women most involved in the organization were Hannah Clothier Hull and Lucy Biddle Lewis, who played important roles in crafting and debating the group's agenda. Both are featured in annual meeting minutes, which often include detailed transcripts. Additionally, state branches were relatively autonomous, and this collection includes a fair number of meeting minutes, programs, pamphlets, and clippings that shed light on the Pennsylvania branch's specific activities. There is also some correspondence between Pennsylvania branch members and national office members, including Jane Addams.","With the centennial of these events underway, the Pennsylvania-specific parts of this collection will be interesting to researchers studying World War I's effects on the Commonwealth. Additionally, they will be useful to historians interested in the relationships between state and national offices, debates within the peace movement, the interrelatedness of peace and suffrage, how activists' strategies changed once the US entered the war, or the biographies of such women as Hull and Lewis."
"Swarthmore College Peace Collections","Hannah Clothier Hull Papers","Hannah Clothier Hull 1872-1958","1889-1958","DG016",,"3 lf","https://www.swarthmore.edu/library/peace/DG001-025/DG016HCHull.html","no; Microfilmed","The Hannah Clothier Hull Papers contain personal correspondence (1889-1956), professional correspondence, speeches, articles, and manuscript notes. There is also biographical material, family papers, newspaper clippings, and photographs. Among Hull's early personal correspondence is a folder of letters she wrote to her friend Caroline Cooper Biddle. These letters chart the close friendship between the two young women at the turn of the century. A large part of the collection reflects Hull's work in the peace movement, especially the Women's International League for Peace and Freedom. Her work for suffrage and women's rights is also well-represented.","Pre-1920 materials are relatively sparse, although they provide some insight into Hull's Quaker upbringing and involvement in the peace and suffrage movements. A series of fliers reveals the strategies members of the Pennsylvania Woman Suffrage Association used to advance their cause, and a series of letters to, from, and about Jane Addams show how fond the two women were of each other.","Although Hull was involved in activism before 1920, her most important contributions were to Women's International League for Peace and Freedom, and these are the activities best represented by this collection . For the purposes of this project, the most interesting materials are Hull's letters to Caroline Biddle while a young woman. While not about rights per se, they provide a classic example of the close friendships women formed in this era. They also provide rare insights into women's personal lives, which in many collections are entirely absent or largely eclipsed by political activities."
"Swarthmore College Peace Collections","Emily Greene Balch Papers","Emily Greene Balch (1867-1961)","1842-1961","DG 006",,"27.75 lf","https://www.swarthmore.edu/library/peace/DG001-025/DG006/DG006EGBintro.htm","no; Microfilmed","The papers of Emily Greene Balch, the second U.S. woman to win a Nobel Peace Prize (1946), contain her diaries (1876-1955, scattered), journals (c. 1894-1948, scattered) and notebooks, all of which provide autobiographical background. Correspondence to and from Balch spans the years from 1875 until her death in 1961. A gap from 1907 until 1913 may have been caused by a fire at Wellesley in 1914, when many papers were destroyed. A considerable amount of important correspondence (1920-c. 1941) relates to the affairs of Women's International League for Peace and Freedom (WILPF), an international organization which Balch led for many years. Her writings (1884-1956) include articles and speeches--some published, others in manuscript, draft, or note form--as well as letters to the editor, book reviews, poems, a song, and research notes. There are many writings pertaining to Women's International League for Peace and Freedom (WILPF). Some books written by Balch are not microfilmed but can be found in the Swarthmore College Peace Collections library.","Before she became a peace activist, Emily Greene Balch was a member of Bryn Mawr's first graduating class (1889). Materials from this part of her life include letters to friends and family members, appointment books, lists of contacts, and occasional observations on issues like labor conditions and economic inequality. Later autobiographical writing also attributes her political awakening to her time at Bryn Mawr.","The significance of this collection to the current project largely depends on how parameters are defined. Balch was connected to Philadelphia because she was educated at Bryn Mawr, and materials from her years there do some shed light on how she became the activist that she did. However, other collections can likely make this connection in a stronger way. Materials from later in her life have a higher research value."
